"id","toa","threshold","infectiousness","susceptibility","school","cohort","sch_type"
"101.101_101494",NA,NA,NA,NA,NA,NA,NA
"101.101_101496",NA,NA,NA,NA,NA,NA,NA
"101.101_101498",NA,NA,NA,NA,NA,NA,NA
"101.101_101499",NA,NA,NA,NA,NA,NA,NA
"101.101_101502",4,0,0,0,NA,NA,NA
"101.101_101503",NA,NA,NA,NA,NA,NA,NA
"101.101_101505",NA,NA,NA,NA,NA,NA,NA
"101.101_101507",NA,NA,NA,NA,NA,NA,NA
"101.101_101509",NA,NA,NA,NA,NA,NA,NA
"101.101_101510",NA,NA,NA,NA,NA,NA,NA
"101.101_101511",2,0,0,0,NA,NA,NA
"101.101_101514",NA,NA,NA,NA,NA,NA,NA
"101.101_101515",NA,NA,NA,NA,NA,NA,NA
"101.101_101516",NA,NA,NA,NA,NA,NA,NA
"101.101_101517",NA,NA,NA,NA,NA,NA,NA
"101.101_101518",NA,NA,NA,NA,NA,NA,NA
"101.101_101519",NA,NA,NA,NA,NA,NA,NA
"101.101_101520",NA,NA,NA,NA,NA,NA,NA
"101.101_101521",NA,NA,NA,NA,NA,NA,NA
"101.101_101522",5,0,0,0,NA,NA,NA
"101.101_101523",NA,NA,NA,NA,NA,NA,NA
"101.101_101525",5,0.333333333333333,0,0,NA,NA,NA
"101.101_101527",3,0,0,0,NA,NA,NA
"101.101_101529",NA,NA,NA,NA,NA,NA,NA
"101.101_101530",NA,NA,NA,NA,NA,NA,NA
"101.101_101531",NA,NA,NA,NA,NA,NA,NA
"101.101_101532",NA,NA,NA,NA,NA,NA,NA
"101.101_101533",NA,NA,NA,NA,NA,NA,NA
"101.101_101534",NA,NA,NA,NA,NA,NA,NA
"101.101_101538",NA,NA,NA,NA,NA,NA,NA
"101.101_101539",NA,NA,NA,NA,NA,NA,NA
"101.101_101540",NA,NA,NA,NA,NA,NA,NA
"101.101_101541",NA,NA,NA,NA,NA,NA,NA
"101.101_101543",NA,NA,NA,NA,NA,NA,NA
"101.101_101544",4,0,0,0,NA,NA,NA
"101.101_101547",NA,NA,NA,NA,NA,NA,NA
"101.101_101548",NA,NA,NA,NA,NA,NA,NA
"101.101_101551",5,0,0,0,NA,NA,NA
"101.101_101553",NA,NA,NA,NA,NA,NA,NA
"101.101_101557",NA,NA,NA,NA,NA,NA,NA
"101.101_101560",NA,NA,NA,NA,NA,NA,NA
"101.101_101562",3,0.5,0,0,NA,NA,NA
"101.101_101564",NA,NA,NA,NA,NA,NA,NA
"101.101_101569",5,0,0.00806451612903225,0,NA,NA,NA
"101.101_101572",NA,NA,NA,NA,NA,NA,NA
"101.101_101574",NA,NA,NA,NA,NA,NA,NA
"101.101_101575",NA,NA,NA,NA,NA,NA,NA
"101.101_101579",NA,NA,NA,NA,NA,NA,NA
"101.101_101583",NA,NA,NA,NA,NA,NA,NA
"101.101_101596",5,0,0,0,NA,NA,NA
"102.102_102003",NA,NA,NA,NA,NA,NA,NA
"102.102_102004",NA,NA,NA,NA,NA,NA,NA
"102.102_102006",NA,NA,NA,NA,NA,NA,NA
"102.102_102008",NA,NA,NA,NA,NA,NA,NA
"102.102_102009",5,0,0,0,NA,NA,NA
"102.102_102012",4,0,0,0,NA,NA,NA
"102.102_102013",NA,NA,NA,NA,NA,NA,NA
"102.102_102015",NA,NA,NA,NA,NA,NA,NA
"102.102_102018",NA,NA,NA,NA,NA,NA,NA
"102.102_102020",4,0,0,0,NA,NA,NA
"102.102_102021",NA,NA,NA,NA,NA,NA,NA
"102.102_102023",NA,NA,NA,NA,NA,NA,NA
"102.102_102026",2,0,0,0,NA,NA,NA
"102.102_102028",NA,NA,NA,NA,NA,NA,NA
"102.102_102031",NA,NA,NA,NA,NA,NA,NA
"102.102_102036",NA,NA,NA,NA,NA,NA,NA
"102.102_102037",NA,NA,NA,NA,NA,NA,NA
"102.102_102038",NA,NA,NA,NA,NA,NA,NA
